GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Gitlab Version Manager main Project,com.github.essobedo.gitlabvm,ConnectionConfiguration,0,156,0,18,0,25,0,11,0,2
Gitlab Version Manager main Project,com.github.essobedo.gitlabvm,AbstractVersionManager.CheckForUpdate,6,47,1,3,2,12,2,3,1,2
Gitlab Version Manager main Project,com.github.essobedo.gitlabvm,AbstractVersionManager.StorePatch,80,148,13,9,12,39,11,6,1,5
Gitlab Version Manager main Project,com.github.essobedo.gitlabvm,AbstractVersionManager,4,55,1,3,2,12,2,6,1,5
Gitlab Version Manager main Project,com.github.essobedo.gitlabvm,Localization,3,13,0,0,2,3,1,2,1,2
Gitlab Version Manager main Project,com.github.essobedo.gitlabvm,Repository,51,288,3,19,11,64,3,14,0,6
